series_id,name_en,category,subcategory,product_role,actuation,pharma_relevance,pharma_applications,key_features,operating_pressure,media_temperature,sterilization_temperature,nominal_sizes,body_materials,seal_or_diaphragm_materials,connections,conformities,protocols,official_url,accessed_date,evidence_grade,notes
F60,Electromotive 2/2-way diaphragm globe valve with PD technology,Valve Technology,Diaphragm Seat Valves,Electromotive 2/2-way diaphragm globe valve with PD technology,motorized,HIGH,无菌主工艺、配液、纯化或卫生输送,"Designed for extremely fast, precise and flexible filling processes with the highest requirements | Hermetic separation of the actuator from the medium thanks to excellent GEMÜ PD sealing technology for filling applications in the pharmaceutical and food industries | Durable and very fast maintenance thanks to quick locking and innovative cartridge spare parts system | Optionally available with oxygen and ATEX version | FDA-compliant as standard and suitable for contact with foodstuffs in accordance with Regulation (EC) No 1935/2004 | Can be integrated into P500 M multi-ports",0 Up to 7 bar,-10 to 140 °C,,DN 8 to 25,"1.4435, investment casting material",PTFE,Clamp Spigot,3A EAC EHEDG FDA Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 USP,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-seat-valves/f60,2026-06-09,A,"Official page description: The GEMÜ F60 motorized 2/2-way filling valve is designed for extremely precise and fast filling processes in aseptic and hygienic applications. GEMÜ F60 enables activation in real time, ultra-quick load cycles and high flow rates of up to 18.500 l/h. The sealing concept of the valve is based on the GEMÜ PD design, whereby the actuator is hermetically separated from the medium. All actuator parts (except the seals) are made from stainless steel."
605,Pneumatic 2/2-way diaphragm valve with metal body,Valve Technology,Diaphragm Valves,Pneumatic 2/2-way diaphragm valve with metal body,pneumatic,HIGH,制药或生物技术过程；具体卫生等级需确认；CIP/SIP与蒸汽灭菌,Hermetic separation between medium and actuator | CIP/SIP capable | Wide range of adaptation options for add-on components and accessories | Compact design (ideal when space is at a premium) | Wide range of adaptation options for add-on components and accessories,0 to 8 bar,-10 to 100 °C,max. 150 °C,DN 4 to 15,"(316L), forging material 1.4408, investment casting material 1.4435 (BN2), forged material 1.4435, investment casting material 1.4539 (904L), forged material",EPDM PTFE/EPDM PTFE/FKM,Clamp Spigot thread,3A BSE/TSE CRN EAC EHEDG FDA FMEDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 TA Luft (German Clean Air Act) USP,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/605,2026-06-09,A,"Official page description: The GEMÜ 605 2/2-way diaphragm valve has a low-maintenance plastic piston actuator and is pneumatically operated. The valve has a metal distance piece. An integrated optical position indicator is standard. Normally Closed (NC), Normally Open (NO) and Double Acting (DA) control functions are available."
610,Pneumatic 2/2-way diaphragm valve made of plastic,Valve Technology,Diaphragm Valves,Pneumatic 2/2-way diaphragm valve made of plastic,pneumatic,MEDIUM,,Ideal for space-saving system design | Integral optical position indicator and closing stroke limiter as standard | Option with electrical position indicator,0 to 6 bar,-10 to 80 °C,,DN 12 to 20,"PP, reinforced PP-H, natural PVC-U, grey PVDF",EPDM FKM NBR PTFE/EPDM,Flare Solvent cement socket Spigot thread Union end,ACS EAC FDA FMEDA System 1+,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/610,2026-06-09,A,"Official page description: The GEMÜ 610 2/2-way diaphragm valve has a low maintenance plastic piston actuator and is pneumatically operated. An integral optical position indicator is standard. Normally Closed (NC), Normally Open (NO) and Double Acting (DA) control functions are available."
611,Manual 2/2-way diaphragm valve with metal body,Valve Technology,Diaphragm Valves,Manual 2/2-way diaphragm valve with metal body,manual,MEDIUM,CIP/SIP与蒸汽灭菌,"Extensive range of accessories available, e.g. electrical position indicator for open handwheel position or lockable handwheel clamp (GEMÜ 671)",0 to 10 bar,-10 to 80 °C,max. 150 °C,DN 10 to 20,"(316L), forging material 1.4435, investment casting material CW617N, brass",EPDM FKM PTFE/EPDM,Clamp Spigot thread,EAC FDA,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/611,2026-06-09,A,Official page description: The GEMÜ 611 2/2-way diaphragm valve has a low-maintenance plastic actuator and is manually operated. An integrated optical position indicator is standard.
612,Manual 2/2-way diaphragm valve with metal body,Valve Technology,Diaphragm Valves,Manual 2/2-way diaphragm valve with metal body,manual,HIGH,制药或生物技术过程；具体卫生等级需确认；CIP/SIP与蒸汽灭菌,Compact design (ideal when space is at a premium) | CIP/SIP capable | Autoclave capability | Long diaphragm service life thanks to patented closing stroke limiter | Continuous minimum flow regulation thanks to closing stroke limiter | Optional PVDF handwheel available in white (not autoclavable),0 to 10 bar,-10 to 100 °C,Max. 150 °C,DN 10 to 20,"(316L), forging material 1.4408, investment casting material 1.4435, investment casting material 1.4539 (904L), block material 1.4539 (904L), forged material",EPDM FKM PTFE/EPDM,Clamp Spigot thread,3A Belgaqua CRN EAC FDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/612,2026-06-09,A,Official page description: The GEMÜ 2/2-way diaphragm valve has a temperature-resistant plastic handwheel and is manually operated. A closing stroke limiter to increase service life of the diaphragm and an optical position indicator are integrated as standard.
615,Pneumatic 2/2-way diaphragm valve with metal body,Valve Technology,Diaphragm Valves,Pneumatic 2/2-way diaphragm valve with metal body,pneumatic,HIGH,制药或生物技术过程；具体卫生等级需确认；CIP/SIP与蒸汽灭菌,CIP capable | Wide range of adaptation options for add-on components and accessories | Compact design (ideal when space is at a premium) | Version according to ATEX on request,0 to 6 bar,-10 to 80 °C,,DN 10 to 20,"(316L), forging material 1.4408, investment casting material 1.4435 (BN2), forged material 1.4435, investment casting material 1.4539 (904L), forged material",EPDM PTFE/EPDM PTFE/FKM,Clamp Spigot thread,Belgaqua BSE/TSE EAC FDA FMEDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 TA Luft (German Clean Air Act) USP,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/615,2026-06-09,A,"Official page description: The GEMÜ 615 2/2-way diaphragm valve has a low-maintenance plastic piston actuator and is pneumatically operated. An integrated optical position indicator is standard. Normally Closed (NC), Normally Open (NO) and Double Acting (DA) control functions are available."
616,Manual 2/2-way diaphragm valve made of metal,Valve Technology,Diaphragm Valves,Manual 2/2-way diaphragm valve made of metal,manual,HIGH,无菌主工艺、配液、纯化或卫生输送；CIP/SIP与蒸汽灭菌,Autoclave capability | CIP/SIP capable | Optional flow direction | Insensitive to particulate media | Installation for optimized draining is possible | Sealed actuator version optionally available,0 to 10 bar,-10 to 100 °C,max. 150 °C,DN 4 to 20,"(316L), forging material 1.4408, investment casting material 1.4435 (316L), investment casting material 1.4435 (BN2), forged material 1.4539 (904L), forged material",EPDM FKM PTFE/EPDM,Clamp Spigot thread,Belgaqua BSE/TSE EAC FDA Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 TA Luft (German Clean Air Act) USP,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/616,2026-06-09,A,"Official page description: The GEMÜ 616 2/2-way diaphragm valve is designed for use in sterile applications. The compression springs installed in the valve actuator close the valve with constant force, regardless of the manual force applied. This extends the service life of the diaphragm. Setting a seal adjuster is no longer required."
620,Pneumatic 2/2-way diaphragm valve with metal body,Valve Technology,Diaphragm Valves,Pneumatic 2/2-way diaphragm valve with metal body,pneumatic,MEDIUM,,"Drive housing available in plastic or metal | Various lining materials are available, such as PFA, PP or hard rubber | Customised painting and coating options on request | Extensive range of spare parts | Standard optical position indicator | Wide range of adaptation options for add-on components and accessories | Suitable for particulate and abrasive media",0 to 10 bar,0 to 100 °C,,DN 15 to 150,"EN-GJL-250, cast iron material EN-GJS-400-18-LT (GGG 40.3), PFA lined EN-GJS-400-18-LT (GGG 40.3), PP lined EN-GJS-400-18-LT, hard rubber lined EN-GJS-400-18-LT, SG iron material EN-GJS-400-18-LT, SG iron material with butyl lining EN-GJS-400-18-LT, SG iron material with soft rubber lining EN-GJS-500-7, ductile iron material, PFA lined EN-GJS-500-7, ductile iron material, PP lined",CR EPDM FKM NBR PTFE/EPDM PTFE/FKM PTFE/PVDF/EPDM,Flange Threaded connection,CRN EAC FDA TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/620,2026-06-09,A,"Official page description: The GEMÜ 620 2/2-way diaphragm valve has a low maintenance membrane actuator made of metal or plastic and is pneumatically operated. The valve has a metal distance piece. Normally Closed (NC), Normally Open (NO) and Double Acting (DA) control functions are available."
629,Electromotive 2/2-way diaphragm valve,Valve Technology,Diaphragm Valves,Electromotive 2/2-way diaphragm valve,motorized,HIGH,无菌主工艺、配液、纯化或卫生输送,Motorized linear actuator for open-close applications | Safety shut-down integrated | Integrated emergency power supply module (optional) | Standard optical position indicator and manual override | Self-locking spindle actuator | Electrical position indicator GEMÜ 1215 (optional),0 Up to 6 bar,-10 to 80 °C,,DN 4 to 65,"(316L), forging material 1.4408, investment casting material 1.4408, investment casting material, PFA lined 1.4435 (BN2), forged material 1.4435, investment casting material 1.4539 (904L), forged material CW614N, brass CW617N, brass EN-GJS-400-18-LT (GGG 40.3) EN-GJS-400-18-LT, SG iron material with hard rubber lining EN-GJS-400-18-LT, SG iron material, PFA lined EN-GJS-400-18-LT, SG iron material, PP lined",CR EPDM FKM NBR PTFE/EPDM,Clamp Flange Spigot thread,Belgaqua EAC EHEDG FDA Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/629,2026-06-09,A,Official page description: The GEMÜ 629 eSyLite 2/2-way diaphragm valve is motorized. It is available as an Open/Close version. An integrated optical position indicator is standard. The self-locking actuator holds its position in a stable manner in the event of power supply failure.
639,Electromotive 2/2-way diaphragm valve,Valve Technology,Diaphragm Valves,Electromotive 2/2-way diaphragm valve,motorized,HIGH,无菌主工艺、配液、纯化或卫生输送；CIP/SIP与蒸汽灭菌,"CIP/SIP capable | Open/close function or with integrated positioner | Parameterisable and controllable via IO-Link | On-site or remote end position programming via programming input | Various functions integrated (e.g. feedback, stroke limiter, etc.)",0 Up to 10 bar,-10 to 100 °C,max. 150 °C,DN 4 to 40,"1.4408, investment casting material 1.4408, investment casting material, PFA lined 1.4435 (316L), forged material 1.4435 (BN2), forged material 1.4435, investment casting material 1.4539 (904L), forged material CW614N, brass CW617N, brass EN-GJS-400-18-LT, SG iron material EN-GJS-400-18-LT, SG iron material with hard rubber lining EN-GJS-400-18-LT, SG iron material, PFA lined EN-GJS-400-18-LT, SG iron material, PP lined",CR EPDM FKM NBR PTFE/EPDM,Clamp Flange Spigot Threaded connection,Belgaqua BSE/TSE EAC EHEDG FDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 TA Luft (German Clean Air Act) USP,IO-Link,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/639,2026-06-09,A,Official page description: The GEMÜ 639 eSyStep 2/2-way diaphragm valve is electrically operated. The eSyStep actuator is available as an On/Off actuator or with an integrated positioner. An optical and electrical position indicator is integrated as standard. The self-locking actuator holds its position in a stable manner when idle and in the event of a power supply failure.
649,Electromotive 2/2-way diaphragm valve with metal body,Valve Technology,Diaphragm Valves,Electromotive 2/2-way diaphragm valve with metal body,motorized,HIGH,制药或生物技术过程；具体卫生等级需确认；CIP/SIP与蒸汽灭菌,"Open/Close function, positioner and process controller | Force and speed are variably adjustable | Extensive diagnostic functions | Operable via web interface eSy-Web or Modbus TCP | Hollow shaft drive based on brushless and sensorless technology | Various functions of add-on components and accessories are already integrated (e.g. position indicators, stroke limiters, etc.) | Hermetic separation between medium and actuator",0 Up to 10 bar,-10 to 100 °C,max. 150 °C,DN 4 to 65,"(316L), forging material 1.4408, investment casting material 1.4408, investment casting material, PFA lined 1.4435 (BN2), forged material 1.4435, investment casting material 1.4539 (904L), forged material CW614N, brass CW617N, brass EN-GJS-400-18-LT (GGG 40.3) EN-GJS-400-18-LT, SG iron material with hard rubber lining EN-GJS-400-18-LT, SG iron material, PFA lined EN-GJS-400-18-LT, SG iron material, PP lined",CR EPDM FKM NBR PTFE/EPDM,Clamp Flange Spigot thread,Belgaqua BSE/TSE EAC EHEDG FDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 TA Luft (German Clean Air Act) USP,Modbus,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/649,2026-06-09,A,"Official page description: The GEMÜ 649 eSyDrive diaphragm valve is actuated by a motorized hollow shaft actuator. It is based on technology that does not use brushes or sensors and therefore guarantees high performance and a long service life. In addition to Open/Close applications, the valve is ideal for variable and complex control applications. The actuator has an integrated web server for parameterization and diagnostics purposes."
650,Pneumatic 2/2-way diaphragm valve made of metal,Valve Technology,Diaphragm Valves,Pneumatic 2/2-way diaphragm valve made of metal,pneumatic,HIGH,无菌主工艺、配液、纯化或卫生输送；CIP/SIP与蒸汽灭菌,"Compact design (ideal when space is at a premium) | CIP/SIP capable | Autoclave capability, depending on version | Controlled exhaust air duct available as an option | Wide range of adaptation options for add-on components and accessories | Version according to ATEX on request",0 to 10 bar,-30 to 130 °C,max. 150 °C,DN 4 to 150,"(316L), forging material 1.4408, investment casting material 1.4408, investment casting material, PFA lined 1.4435 (316L), block material 1.4435 (BN2), forged material 1.4435, investment casting material 1.4539 (904L), forged material 3.7035, titanium, block material",EPDM FKM PTFE/EPDM PTFE/PVDF/EPDM,Clamp Flange Spigot thread,3A ATEX BSE/TSE CRN EAC EHEDG FDA FMEDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 SIL TA Luft (German Clean Air Act) USP,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/650,2026-06-09,A,"Official page description: The GEMÜ 650 BioStar 2/2-way diaphragm valve has a stainless steel piston actuator and is pneumatically operated. The valve is designed for use in a sterile environment. All actuator parts are made from stainless steel (except seals). The compression springs of diaphragm sizes 80 and 100 are made of epoxy-coated spring steel. Normally Closed (NC), Normally Open (NO) and Double Acting (DA) control functions are available. An integrated optical position indicator is standard."
650TL,Manual 2/2-way diaphragm valve with metal body,Valve Technology,Diaphragm Valves,Manual 2/2-way diaphragm valve with metal body,pneumatic | manual,HIGH,制药或生物技术过程；具体卫生等级需确认；CIP/SIP与蒸汽灭菌,Fail safe function (closed) | Proximity switches can be fitted for recording the valve position | CIP/SIP capable | Closing stroke limiter (MG 8) | Opening and closing stroke limiter (MG 10 + 25),0 to 10 bar,-10 to 100 °C,Max. 150 °C,DN 4 to 25,"(316L), forging material 1.4435 (316L), block material 1.4435 (BN2), block material 1.4435 (BN2), forged material 1.4435, investment casting material 1.4539 (904L), forged material",EPDM PTFE/EPDM,Clamp Flange Spigot thread,3A CRN EAC FDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 TA Luft (German Clean Air Act) USP,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/650tl,2026-06-09,A,"Official page description: Diaphragm valve GEMÜ 650TL is a manually operated diaphragm valve with a pneumatic fail safe function. The valve can only be operated manually (opened/closed) if the actuator is supplied with compressed air. If this supply is interrupted, the valve closes due to the force of the spring and can no longer be opened manually."
651,Pneumatic 2/2-way diaphragm valve with metal body,Valve Technology,Diaphragm Valves,Pneumatic 2/2-way diaphragm valve with metal body,pneumatic,HIGH,无菌主工艺、配液、纯化或卫生输送；CIP/SIP与蒸汽灭菌,Integrated automation module as valve activation or electro-pneumatic positioner | Integrated travel and system control | AS-Interface field bus connection (option for combi switchbox) | Speed-AP function for fast commissioning | CIP/SIP capable,0 to 10 bar,-10 to 100 °C,Max. 150 °C,DN 4 to 25,"1.4408, investment casting material 1.4435 (316L), forged material 1.4435 (BN2), forged material 1.4435, investment casting material 1.4539 (904L), forged material",EPDM PTFE/EPDM,Clamp Spigot Threaded connection,,AS-Interface,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/651,2026-06-09,A,"Official page description: The GEMÜ 651 2/2-way diaphragm valve has a stainless steel piston actuator and is pneumatically operated. The valve is designed for use in a sterile environment. The valve has a fully integrated automation module and an internal air supply. The available control functions are ""normally closed (NC)"" and ""normally open (NO)"". The integrated automation module is available as a combi switchbox or electro-pneumatic positioner."
653,Manual 2/2-way diaphragm valve with metal body,Valve Technology,Diaphragm Valves,Manual 2/2-way diaphragm valve with metal body,manual,HIGH,制药或生物技术过程；具体卫生等级需确认；CIP/SIP与蒸汽灭菌,Handwheel made of chemical and temperature-resistant plastic | Opening stroke and closing stroke limiter | Handwheel locking available upon request (electric or mechanical) | Configurable with proximity switches for position feedback | CIP/SIP capable | Autoclave capability,0 Up to 10 bar,-10 to 100 °C,Max. 150 °C,DN 10 to 100,"(316L), forging material 1.4408, investment casting material 1.4435 (BN2), forged material 1.4435, investment casting material 1.4539 (904L), forged material",EPDM FKM PTFE/EPDM PTFE/PVDF/EPDM,Clamp Flange Spigot thread,3A CRN EAC FDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 TA Luft (German Clean Air Act) USP,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/653,2026-06-09,A,Official page description: The GEMÜ 653 2/2-way diaphragm valve has a stainless steel bonnet and is manually operated. The valve features a handwheel in high temperature and chemically resistant plastic. An integral optical position indicator is standard.
654,Manual 2/2-way diaphragm valve made of metal,Valve Technology,Diaphragm Valves,Manual 2/2-way diaphragm valve made of metal,manual,MEDIUM,CIP/SIP与蒸汽灭菌,Opening stroke and closing stroke limiter | Handwheel locking available upon request (electric or mechanical) | Configurable with proximity switches for position feedback | CIP/SIP capable | Autoclave capability,0 Up to 10 bar,-10 to 100 °C,Max. 150 °C,DN 4 to 100,"(316L), forging material 1.4408, investment casting material 1.4435 (BN2), forged material 1.4435, investment casting material 1.4539 (904L), forged material",EPDM FKM PTFE/EPDM PTFE/PVDF/EPDM,Clamp Flange Spigot thread,3A CRN EAC FDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 TA Luft (German Clean Air Act) USP,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/654,2026-06-09,A,Official page description: The GEMÜ 654 2/2-way diaphragm valve has a stainless steel bonnet and is manually operated. The valve has a handwheel made from stainless steel. An integral optical position indicator is standard.
656,Pneumatic 2/2-way diaphragm valve made of metal,Valve Technology,Diaphragm Valves,Pneumatic 2/2-way diaphragm valve made of metal,pneumatic,LOW,,"High flow rate due to straight through flow | Suitable for media with a high solids content such as fibres, coarse particles and sludge | High mechanical stability | Valve can be cleaned without disassembly of actuator",0 to 7 bar,0 to 100 °C,,DN 25 to 250,"EN-GJL-250, cast iron material EN-GJS-400-18-LT EN-GJS-400-18-LT, SG iron material EN-GJS-500-7, ductile iron material",CR EPDM IIR NBR NR,Flange,CRN EAC,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/656,2026-06-09,A,"Official page description: The GEMÜ 656 2/2-way diaphragm valve has a low maintenance metal membrane actuator and is pneumatically operated. Normally Closed (NC), Normally Open (NO) and Double Acting (DA) control functions are available. The valve body has a full bore design."
658,Pneumatic 2/2-way diaphragm valve made of metal,Valve Technology,Diaphragm Valves,Pneumatic 2/2-way diaphragm valve made of metal,pneumatic,HIGH,制药或生物技术过程；具体卫生等级需确认；CIP/SIP与蒸汽灭菌,"In addition to the normal opening and closing function, a partial stroke (reduced volume flow) can be set using the opening stroke limiter | Both fast on/off operation and precision dosing of the working medium possible | Mounting of proximity switches (M8x1) for OPEN and CLOSED position feedback possible (MG 25 – 50) | CIP/SIP capable | Compact design (ideal when space is at a premium) | Version according to ATEX on request",0 to 10 bar,-10 to 100 °C,Max. 150 °C,DN 10 to 65,"(316L), forging material 1.4408, investment casting material 1.4435 (BN2), forged material 1.4435, investment casting material 1.4539 (904L), forged material",EPDM FKM PTFE/EPDM,Clamp Flange Spigot thread,3A BSE/TSE CRN EAC EHEDG FDA FMEDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 TA Luft (German Clean Air Act) USP,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/658,2026-06-09,A,"Official page description: The GEMÜ 658 2/2-way diaphragm valve has a two-stage actuator. In addition to full stroke, a partial stroke can be set via two pistons working independently of each other.All actuator parts including closing springs (except seals) are made from stainless steel. The valve is available with a Normally Closed control function. An opening stroke limiter for setting the partial stroke is integrated as standard."
660,Pneumatic 2/2-way diaphragm valve made of metal,Valve Technology,Diaphragm Valves,Pneumatic 2/2-way diaphragm valve made of metal,pneumatic,HIGH,制药或生物技术过程；具体卫生等级需确认；CIP/SIP与蒸汽灭菌,"Easily adjustable, integrated opening stroke and closing stroke limiter | Precise stroke scale (10 scale points per turn) on the actuator top | High level of reproducibility of the flow rates thanks to distance sleeves integrated in the shut-off diaphragms | Fast cycle duties due to minimized filling volume",0 to 5 bar,-10 to 100 °C,Max. 150 °C,DN 4 to 25,"1.4408, investment casting material 1.4435 (316L), forged material 1.4435 (BN2), forged material 1.4435, investment casting material 1.4539 (904L), forged material",EPDM PTFE/EPDM,Clamp Flange Spigot Threaded connection,3A BSE/TSE CRN EAC EHEDG FDA FMEDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 TA Luft (German Clean Air Act) USP,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/660,2026-06-09,A,"Official page description: The GEMÜ 660 2/2-way diaphragm valve has a stainless steel piston actuator and is pneumatically operated. The valve was designed for dosing and filling a wide range of products. All actuator parts are made from stainless steel (except seals). Normally Closed (NC), Normally Open (NO) and Double Acting (DA) control functions are available. An opening stroke and closing stroke limiter and an optical position indicator are integrated as standard."
671,Manual 2/2-way diaphragm valve with metal body,Valve Technology,Diaphragm Valves,Manual 2/2-way diaphragm valve with metal body,manual,MEDIUM,CIP/SIP与蒸汽灭菌,"Extensive range of accessories available, e.g. electrical position indicator for open handwheel position or lockable handwheel clamp (GEMÜ 671)",0 to 10 bar,-10 to 80 °C,max. 150 °C,DN 15 to 100,"(316L), forging material 1.4408, investment casting material 1.4408, investment casting material, PFA lined 1.4435 (BN2), forged material 1.4435, investment casting material 1.4539 (904L), forged material CW617N, brass EN-GJS-400-18-LT, SG iron material EN-GJS-400-18-LT, SG iron material, PFA lined EN-GJS-400-18-LT, SG iron material, PP lined",EPDM FKM PTFE/EPDM PTFE/PVDF/EPDM,Clamp Flange Spigot thread,EAC FDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/671,2026-06-09,A,Official page description: The GEMÜ 671 2/2-way diaphragm valve has a low-maintenance plastic actuator and is manually operated. An integrated optical position indicator is standard.
673,Manual 2/2-way diaphragm valve made of metal,Valve Technology,Diaphragm Valves,Manual 2/2-way diaphragm valve made of metal,manual,HIGH,制药或生物技术过程；具体卫生等级需确认；CIP/SIP与蒸汽灭菌,Long service life of the diaphragm due to patented closing stroke limitation | Autoclave capability | CIP/SIP capable | Continuous minimum flow regulation thanks to closing stroke limiter | Compact design (ideal when space is at a premium),0 to 10 bar,-10 to 100 °C,Max. 150 °C,DN 15 to 65,"1.4408, investment casting material 1.4435, investment casting material 1.4435/316L, forged body material 1.4539/904L, forged and block material",EPDM FKM PTFE,Clamp Flange Spigot thread,,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/673,2026-06-09,A,Official page description: The GEMÜ 2/2-way diaphragm valve has a temperature-resistant plastic handwheel and is manually operated. A closing stroke limiter to increase service life of the diaphragm and an optical position indicator are integrated as standard.
673P9,Manual 2/2-way diaphragm valve made of metal,Valve Technology,Diaphragm Valves,Manual 2/2-way diaphragm valve made of metal,manual,HIGH,制药或生物技术过程；具体卫生等级需确认；CIP/SIP与蒸汽灭菌,"Specially sealed actuator version | CIP, COP and SIP capable | Autoclave capability | Continuous minimum flow regulation thanks to closing stroke limiter | Compact design (ideal when space is at a premium)",0 Up to 10 bar,-10 to 100 °C,Max. 150 °C,DN 4 to 65,"(316L), forging material 1.4408, investment casting material 1.4435 (BN2), forged material 1.4435, investment casting material 1.4539 (904L), forged material EN-GJS-400-18-LT (GGG 40.3)",EPDM FKM PTFE/EPDM,Clamp Flange Spigot thread,CRN EAC FDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 TA Luft (German Clean Air Act) USP,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/673p9,2026-06-09,A,"Official page description: The GEMÜ 673P9 2/2-way diaphragm valve has a temperature-resistant plastic handwheel and is manually operated. The actuator of the valve is specially sealed, making it ideal for demanding cleaning processes. A closing stroke limiter to increase the service life of the diaphragm and an optical position indicator are integrated as standard (diaphragm size 10-50)."
687,Pneumatic 2/2-way diaphragm valve with metal body,Valve Technology,Diaphragm Valves,Pneumatic 2/2-way diaphragm valve with metal body,pneumatic,HIGH,制药或生物技术过程；具体卫生等级需确认；CIP/SIP与蒸汽灭菌,Hermetic separation between medium and actuator | CIP/SIP capable | Suitable for particulate and abrasive media | Stainless steel body suitable for corrosive environments | Wide range of adaptation options for add-on components and accessories,0 Up to 10 bar,-30 to 130 °C,max. 150 °C,DN 10 to 100,"(316L), forging material 1.4408, investment casting material 1.4408, investment casting material, PFA lined 1.4435 (BN2), forged material 1.4435, investment casting material 1.4539 (904L), forged material EN-GJS-400-18-LT (GGG 40.3), PFA lined EN-GJS-400-18-LT (GGG 40.3), PP lined EN-GJS-400-18-LT, hard rubber lined",EPDM FKM PTFE PTFE/EPDM PTFE/PVDF/EPDM,Clamp Flange Spigot thread,3A ATEX Belgaqua CRN EAC FDA FMEDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 TA Luft (German Clean Air Act) USP,,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/687,2026-06-09,A,"Official page description: The GEMÜ 687 2/2-way diaphragm valve has a low-maintenance membrane actuator and is pneumatically operated. The valve has a metal distance piece. Normally Closed (NC), Normally Open (NO) and Double Acting (DA) control functions are available."
695,Pneumatic 2/2-way diaphragm valve with metal body,Valve Technology,Diaphragm Valves,Pneumatic 2/2-way diaphragm valve with metal body,pneumatic,HIGH,制药或生物技术过程；具体卫生等级需确认；CIP/SIP与蒸汽灭菌,Suitable for corrosive environments | CIP/SIP capable | Wide range of adaptation options for add-on components and accessories | Suitable for particulate and abrasive media | CIP capable | Stainless steel body suitable for corrosive environments,0 to 10 bar,-10 to 80 °C,,DN 15 to 65,"(316L), forging material 1.4408, investment casting material 1.4408, investment casting material, PFA lined 1.4435 (BN2), forged material 1.4435, investment casting material 1.4539 (904L), forged material EN-GJS-400-18-LT (GGG 40.3) EN-GJS-400-18-LT, SG iron material with butyl lining EN-GJS-400-18-LT, SG iron material with hard rubber lining EN-GJS-400-18-LT, SG iron material with soft rubber lining EN-GJS-400-18-LT, SG iron material, PFA lined EN-GJS-400-18-LT, SG iron material, PP lined",EPDM FKM NBR PTFE/EPDM PTFE/FKM,Clamp Flange Spigot thread,Belgaqua EAC FDA Oxygen TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/diaphragm-valves/695,2026-06-09,A,"Official page description: The GEMÜ 695 2/2-way diaphragm valve has a low-maintenance membrane actuator and is pneumatically operated. Normally Closed (NC), Normally Open (NO) and Double Acting (DA) control functions are available."
